Vendor,rank,degree,Year-Month,log_degree,log_rank,yhat_log,resid_log,resid_zscore,is_anomaly
LATE PAYMENT FEE,8.122157244964262e-05,4,201402,,,,,,False
PURCHASE  FINANCE CHARGE,4.39035526754825e-05,2,201402,,,,,,False
AMAZON MKTPLACE PMTS,0.008287236341947517,784,201402,6.664409020350408,-4.793038737798547,-5.06279918955661,0.26976045175806274,0.8098439249745772,False
THE HOME DEPOT 3907,6.790300841160859e-05,8,201402,2.0794415416798357,-9.59743020315043,-9.646899778926826,0.04946957577639566,0.1485118932464087,False
WAL-MART #0389,0.00021349405425883026,24,201402,3.1780538303479458,-8.451901569904187,-8.548495207160247,0.09659363725605985,0.2899823521691968,False
CONSUMERS,0.00013326167215574667,24,201402,3.1780538303479458,-8.923195895335038,-8.548495207160247,-0.37470068817479074,-1.1248834809717076,False
THE MAP SHOP,6.256256256256256e-05,2,201402,,,,,,False
"ARTIC TEMP, INC.",2.4370312533880657e-05,2,201402,,,,,,False
LOCKE SUPPLY - WHC OKMULG,9.722513227062064e-05,6,201402,,,,,,False
SQ  CHARLES WARREN,3.937105638528421e-05,4,201402,,,,,,False
MEASUREMNT COMPUTNG,6.256256256256256e-05,2,201402,,,,,,False
Amazon.com,0.008173905011535402,782,201402,6.661854740545311,-4.806808514590787,-5.065352986418731,0.2585444718279444,0.7761725949117524,False
VWR INTERNATIONAL INC,0.002625626255391863,186,201402,5.225746673713202,-5.942435837529202,-6.501189525323308,0.5587536877941055,1.6774263116337487,False
AIRGAS CENTRAL,0.0018594857924732005,226,201402,5.420534999272286,-6.287455284599724,-6.3064380287965,0.01898274419677648,0.05698781999708383,False
COMTEC ELECTRONIC SYSTE,0.00014663217248370825,26,201402,3.258096538021482,-8.827583328172315,-8.468467633327283,-0.35911569484503225,-1.0780959993871462,False
ELK CITY UTILITY,4.4327596604561826e-05,4,201402,,,,,,False
MIDWEST FARM SUPPLY,1.8162906463330036e-05,2,201402,,,,,,False
NORTHFORK ELECTRIC COO,7.335962743296352e-05,6,201402,,,,,,False
OK NATURAL GAS/TNB,0.0003964673393027634,60,201402,4.0943445622221,-7.832916890262385,-7.632377720273144,-0.20053916998924048,-0.6020357227191251,False
OREILLY AUTO  00003137,3.6174335332598315e-05,4,201402,,,,,,False
WAL-MART #0134,4.6571378433077564e-05,6,201402,,,,,,False
3D ROBOTICS INC,7.360687430206191e-05,8,201402,2.0794415416798357,-9.516772122162111,-9.646899778926826,0.13012765676471538,0.39065434393846465,False
AT&T DATA,0.0019130108385862139,152,201402,5.0238805208462765,-6.259076922263956,-6.7030175109384835,0.44394058867452735,1.332747578248181,False
B & H PHOTO-VIDEO.COM,0.00041113411246325796,70,201402,4.248495242049359,-7.796591086566029,-7.47825618603429,-0.3183349005317391,-0.9556685704774569,False
CST-THE COMPOSITES STORE,4.0118018437631926e-05,4,201402,,,,,,False
DE-COMP COMPOSITES INC,4.3010932420532417e-05,8,201402,2.0794415416798357,-10.054056208996952,-9.646899778926826,-0.4071564300701258,-1.2223183912158941,False
HOB TOWER HOBBIES,0.0001693153929516335,12,201402,2.4849066497880004,-8.683747345896581,-9.241511332946697,0.5577639870501159,1.6744551454385586,False
LITTLE CAESARS 0129 0029,0.00015229730166429909,16,201402,2.772588722239781,-8.789676008894327,-8.953883653140377,0.1642076442460496,0.4929653782101563,False
MACS PRODUCTS,1.690277672728661e-05,2,201402,,,,,,False
MCMASTER-CARR,0.0009089349975831476,96,201402,4.564348191467836,-7.003236975053073,-7.162462955587346,0.15922598053427262,0.47800999810548894,False
PAYPAL  PONCAFLYER,1.690277672728661e-05,2,201402,,,,,,False
SERVOCITY,2.7615317279968194e-05,4,201402,,,,,,False
THE FLIGHT SHOP,3.193956141309106e-05,2,201402,,,,,,False
THUNDER POWER RC,2.4421169070188834e-05,2,201402,,,,,,False
TROY BUILT MODELS,3.06889034344596e-05,4,201402,,,,,,False
WWW.ESPRITMODEL.COM,3.5133709622870425e-05,4,201402,,,,,,False
MCALISTER'S DELI 711,0.00011289575452570061,14,201402,2.6390573296152584,-9.089045682504732,-9.087389798707845,-0.001655883796887636,-0.004971104639756921,False
QDOBA #0258,3.069978061074818e-05,4,201402,,,,,,False
WAL-MART #0137,0.0025711144646977813,322,201402,5.7745515455444085,-5.963415829831117,-5.952488417166236,-0.010927412664881508,-0.03280502647684213,False
ACTFL,2.5842778175712786e-05,2,201402,,,,,,False
AT&T BILL PAYMENT,0.0027388573050557146,360,201402,5.886104031450156,-5.900214487153691,-5.840957022720113,-0.05925746443357749,-0.1778959712891875,False
SQ  CYNTHIA KING,2.5842778175712786e-05,2,201402,,,,,,False
START MEETING,3.7223009826134094e-05,4,201402,,,,,,False
TFS PROT BIOL PRODUCTS,3.915206234843606e-05,6,201402,,,,,,False
DMI  DELL HIGHER EDUC,0.0013856807472965964,76,201402,4.330733340286331,-6.581563745081181,-7.396033636724933,0.8144698916437525,2.4451082044225148,False
STAPLS7112914773000001,2.3297520726509422e-05,2,201402,,,,,,False
STAPLS7112914773001001,2.3297520726509422e-05,2,201402,,,,,,False
STAPLS7113315151000001,2.3297520726509422e-05,2,201402,,,,,,False
STAPLS7113765368000001,2.3297520726509422e-05,2,201402,,,,,,False
USA MOBILITY WIRELE,0.0002982147177925935,48,201402,3.871201010907891,-8.117696798056995,-7.855479081373796,-0.2622177166831996,-0.7871999898154676,False
WELCOA,2.3297520726509422e-05,2,201402,,,,,,False
KINDLE-NewYorkTime,6.256256256256256e-05,2,201402,,,,,,False
BARNES&NOBLE COM,0.00014110635790192546,16,201402,2.772588722239781,-8.865996633487912,-8.953883653140377,0.08788701965246482,0.26384434221482667,False
EMBASSY SUITES NORMAN,7.094141223692587e-05,12,201402,2.4849066497880004,-9.553656187236657,-9.241511332946697,-0.31214485428995964,-0.9370855227714413,False
HAMPTON INN MUSKOGEE,0.00012486929108245057,18,201402,2.8903717578961645,-8.988243031089691,-8.836122886966567,-0.15212014412312413,-0.4566776700642239,False
HOBBY-LOBBY #0005,0.00043637567414881964,72,201402,4.276666119016055,-7.737007045364517,-7.450090635393667,-0.2869164099708499,-0.8613475773638143,False
KNIGHTS INN,1.7595309491900258e-05,2,201402,,,,,,False
NATIONAL SAFETY COU,4.974336106465648e-05,6,201402,,,,,,False
SPRINGHILL SUITES - LAWTN,0.00020298377953738772,20,201402,2.995732273553991,-8.502384480945171,-8.730782292039724,0.2283978110945526,0.685669743607584,False
STAPLES,0.008156585630100436,468,201402,6.148468295917647,-4.808929625132582,-5.578642364007673,0.7697127388750911,2.310743407682907,False
STAPLES DIRECT,0.001132025225803757,120,201402,4.787491742782046,-6.783747014287127,-6.9393615944866935,0.15561458019956653,0.4671682657364474,False
TOWNEPLACE SUITES N OWASS,1.7595309491900258e-05,2,201402,,,,,,False
BOOKSTORE-OSU,5.147089152446764e-05,4,201402,,,,,,False
FEDEXOFFICE   00001248,0.00034015919715335645,50,201402,3.912023005428146,-7.98609682007665,-7.814664805152621,-0.17143201492402937,-0.5146535562479868,False
INKED CUSTOM PRINTING,2.0241322440050312e-05,2,201402,,,,,,False
OFFICE DEPOT #1079,0.0010996969457999397,110,201402,4.700480365792417,-6.812720640044856,-7.026356520055004,0.21363588001014833,0.6413531652074295,False
DBC BLICK ART MATERIAL,0.00011159848075590386,16,201402,2.772588722239781,-9.100603112447383,-8.953883653140377,-0.1467194593070058,-0.44046435280244023,False
NACSCORP,1.9418329780682437e-05,2,201402,,,,,,False
OLSEN SAFETY EQUIPMENT CO,1.9418329780682437e-05,2,201402,,,,,,False
PAI INC,1.9418329780682437e-05,2,201402,,,,,,False
RAYMOND GEDDES,1.9418329780682437e-05,2,201402,,,,,,False
REI ELSEVIER HEALTH SC,6.685451498098912e-05,10,201402,2.302585092994046,-9.612991702756489,-9.423798417826173,-0.1891932849303153,-0.5679744063603045,False
SPG RETAIL RESOURCE,2.9452275176980488e-05,2,201402,,,,,,False
WAL-MART #1437,0.0002665837328230406,30,201402,3.4011973816621555,-8.229822165498012,-8.325393846059594,0.09557168056158183,0.28691435085463673,False
WEAR MAGIC,1.9418329780682437e-05,2,201402,,,,,,False
VISTAPR VistaPrint.com,8.240714899940426e-05,10,201402,2.302585092994046,-9.403838352975876,-9.423798417826173,0.019960064850296888,0.0599218201029091,False
BioQuip Products Inc,7.393994347747518e-05,8,201402,2.0794415416798357,-9.512257355369309,-9.646899778926826,0.13464242355751743,0.40420805959989375,False
NASCO MAIL ORDER,0.0001471835553503623,16,201402,2.772588722239781,-8.82383006748582,-8.953883653140377,0.13005358565455616,0.3904319761370037,False
THE UPS STORE 6124,2.9252485451646465e-05,4,201402,,,,,,False
BEST WESTERN HOTELS OKMU,7.325662490317367e-05,4,201402,,,,,,False
CTC CONSTANTCONTACT.COM,0.00022099924435145816,36,201402,3.58351893845611,-8.417351271151636,-8.143106761180118,-0.2742445099715187,-0.8233054508568987,False
ACCO BRANDS DIRECT,9.10979329521404e-05,16,201402,2.772588722239781,-9.303575432856295,-8.953883653140377,-0.34969177971591847,-1.049804600974035,False
BEST WELDERS SUPPLY INC,8.8102650506727e-05,12,201402,2.4849066497880004,-9.337007928917405,-9.241511332946697,-0.09549659597070814,-0.2866889404973605,False
COMTRAIN,2.2701063669100616e-05,2,201402,,,,,,False
SAF-T-PAK,2.2701063669100616e-05,2,201402,,,,,,False
WALGREENS #7503,3.601774295381685e-05,2,201402,,,,,,False
LABORATORY DEVICES CO,3.8838897275258254e-05,6,201402,,,,,,False
THE HOME DEPOT 3904,0.0002817614392316325,24,201402,3.1780538303479458,-8.174449801674813,-8.548495207160247,0.3740454054854343,1.1229162663498968,False
LOCKE SUPPLY - STILLWATER,0.00015781553120835823,18,201402,2.8903717578961645,-8.754083724685625,-8.836122886966567,0.08203916228094243,0.24628857473452803,False
LOWES #00241,0.002782788380703845,306,201402,5.723585101952381,-5.88430183896165,-6.003445224427181,0.11914338546553083,0.3576786229832869,False
LUDEMAN INSULATION & SUPP,1.5898844820145273e-05,2,201402,,,,,,False
M & M INSULATION,6.472476948535748e-05,12,201402,2.4849066497880004,-9.645366578329755,-9.241511332946697,-0.40385524538305795,-1.2124079527264209,False
RADIOSHACK COR00194282,0.00010555378003984539,18,201402,2.8903717578961645,-9.156289962048682,-8.836122886966567,-0.3201670750821144,-0.9611689150218274,False
WW GRAINGER,0.00672607959637792,506,201402,6.226536669287466,-5.001762831452502,-5.50058875118695,0.4988259197344478,1.4975180315871157,False
WWW.NEWEGG.COM,0.0010743449518585146,138,201402,4.927253685157205,-6.8360441493074715,-6.799626077191538,-0.036418072115933064,-0.10933016411467011,False
AT&T PREMIER EBIL,0.0004842231065047513,70,201402,4.248495242049359,-7.632964791540885,-7.47825618603429,-0.1547086055065945,-0.464448452299993,False
ATT BUS PHONE PMT,0.0008936601913805581,120,201402,4.787491742782046,-7.020184953054642,-6.9393615944866935,-0.08082335856794831,-0.24263862810764314,False
LOWES #00124,0.00023889550079465565,30,201402,3.4011973816621555,-8.339484332630805,-8.325393846059594,-0.014090486571211258,-0.04230084460211707,False
OFFICEMAX CT IN#543868,1.9800050653683596e-05,2,201402,,,,,,False
PITNEY BOWES 6962161-001,1.9800050653683596e-05,2,201402,,,,,,False
PITNEY BOWES 7223621-001,1.9800050653683596e-05,2,201402,,,,,,False
BC. BASECAMP 1108487,1.9015245039525664e-05,2,201402,,,,,,False
WUFOO.COM/CHARGE,0.0002544820238822562,44,201402,3.784189633918261,-8.276280353614393,-7.942474006942108,-0.3338063466722847,-1.0021151736983342,False
SUDDENLINK COMMUNICTNS,6.256256256256256e-05,2,201402,,,,,,False
ENTERPRISE RENT-A-CAR,0.0003112619923158117,30,201402,3.4011973816621555,-8.07487557818616,-8.325393846059594,0.25051826787343323,0.752077244867644,False
FOUNTAIN SQUARE CLEANERS,0.00010048811033807749,10,201402,2.302585092994046,-9.205471132606073,-9.423798417826173,0.21832728522010036,0.6554371644894328,False
NATIONAL CAR RENTAL,3.492252095624935e-05,2,201402,,,,,,False
ASPEN CUSTOM ELECTRONICS,2.0371853564983273e-05,2,201402,,,,,,False
Coopers Locksmith,0.00013049850841258132,26,201402,3.258096538021482,-8.944148753392573,-8.468467633327283,-0.47568112006529084,-1.4280353654487117,False
MONOPRICE INC,0.00017610371696399717,26,201402,3.258096538021482,-8.644437429885457,-8.468467633327283,-0.17596979655817435,-0.528276364429555,False
LOWES #02571,0.0002181178682542255,22,201402,3.091042453358316,-8.430474956640055,-8.635490132728558,0.20501517608850328,0.6154730754668858,False
WAL-MART #0151,0.0002947251947169617,28,201402,3.332204510175204,-8.129467175719931,-8.394373672921393,0.2649064972014621,0.7952719386654391,False
BECKER GALLAGHER LEGAL,4.113473274446318e-05,2,201402,,,,,,False
BEDFORD CAMERA AND VIDEO,7.9595385703248e-05,12,201402,2.4849066497880004,-9.438554422782797,-9.241511332946697,-0.1970430898361002,-0.5915401913882986,False
STEVE MEADOR & ASSOCIATES,4.113473274446318e-05,2,201402,,,,,,False
VALOREBOOKS.COM,2.5259558564423782e-05,2,201402,,,,,,False
BEST WESTERN HOTELS,0.00012724004289100556,12,201402,2.4849066497880004,-8.969435146136789,-9.241511332946697,0.2720761868099082,0.8167959594606017,False
DAYS INN,0.00011500841634024155,10,201402,2.302585092994046,-9.070505238016624,-9.423798417826173,0.35329317980954933,1.0606163117650478,False
MICROTEL INN,7.427225997525791e-05,10,201402,2.302585092994046,-9.507773014101252,-9.423798417826173,-0.08397459627507864,-0.2520989129516162,False
CUPA - HR,7.56875142420307e-05,8,201402,2.0794415416798357,-9.4888973352699,-9.646899778926826,0.15800244365692606,0.4743368358586001,False
AMERICAN AI 0010647853346,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0010648966671,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0010648967763,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0010649031354,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0010649318262,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0010649528150,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0012332465839,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0012332611281,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0012386690624,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0012386692155,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0012387002042,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0012387002043,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0012387198678,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0012387272021,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0012387273564,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0012387273976,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0012387458280,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0017364432058,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0017364432091,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0017383072242,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0017383072243,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0017383072244,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0017383072245,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0017383072246,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0017383072247,3.231077307977375e-05,2,201402,,,,,,False
AMERICAN AI 0017384178934,3.231077307977375e-05,2,201402,,,,,,False
BRENAIR AVIATION SERVICES,3.231077307977375e-05,2,201402,,,,,,False
BUSINESS JET CENTER LTD,0.00010108993916594183,2,201402,,,,,,False
DELTA AIR   0062351144140,3.231077307977375e-05,2,201402,,,,,,False
EXECUTIVE BEECHCRAFT MKC,5.52371617751631e-05,2,201402,,,,,,False
NAMMAR AGCY 0001123250628,3.231077307977375e-05,2,201402,,,,,,False
NAMMAR AGCY 0001163230248,3.231077307977375e-05,2,201402,,,,,,False
NAMMAR AGCY 0001194240868,3.231077307977375e-05,2,201402,,,,,,False
NAMMAR AGCY 0001199240240,3.231077307977375e-05,2,201402,,,,,,False
SIGNATURE FLIGHT SUPPORT,3.231077307977375e-05,2,201402,,,,,,False
SOUTHWES    5262189667830,3.231077307977375e-05,2,201402,,,,,,False
SOUTHWES    5262190770104,3.231077307977375e-05,2,201402,,,,,,False
SOUTHWES    5262190774068,3.231077307977375e-05,2,201402,,,,,,False
SOUTHWES    5262190775557,3.231077307977375e-05,2,201402,,,,,,False
SOUTHWES    5262190984157,3.231077307977375e-05,2,201402,,,,,,False
SOUTHWES    5262191384419,3.231077307977375e-05,2,201402,,,,,,False
SOUTHWES    5262191460634,3.231077307977375e-05,2,201402,,,,,,False
SOUTHWES    5262191496438,3.231077307977375e-05,2,201402,,,,,,False
SOUTHWES    5262193233589,3.231077307977375e-05,2,201402,,,,,,False
SOUTHWES    5262193794617,3.231077307977375e-05,2,201402,,,,,,False
SOUTHWES    5262193884770,3.231077307977375e-05,2,201402,,,,,,False
SOUTHWES    5262193917727,3.231077307977375e-05,2,201402,,,,,,False
SOUTHWES    5262193920816,3.231077307977375e-05,2,201402,,,,,,False
SOUTHWES    5262193923465,3.231077307977375e-05,2,201402,,,,,,False
UNITED      0162396858973,3.231077307977375e-05,2,201402,,,,,,False
UNITED      0162396860272,3.231077307977375e-05,2,201402,,,,,,False
UNITED      0162397775524,3.231077307977375e-05,2,201402,,,,,,False
UNITED      0167364432082,5.52371617751631e-05,2,201402,,,,,,False
UNITED      0167364432083,3.231077307977375e-05,2,201402,,,,,,False
UNITED      0167364432084,3.231077307977375e-05,2,201402,,,,,,False
UNITED      0167364432085,3.231077307977375e-05,2,201402,,,,,,False
UNITED      0167364432086,3.231077307977375e-05,2,201402,,,,,,False
INTUIT  QB ONLINE,0.00019745782599571714,12,201402,2.4849066497880004,-8.529985530623671,-9.241511332946697,0.7115258023230258,2.1360612525617033,False
OFFICE DEPOT #2714,0.00015131312950288157,20,201402,2.995732273553991,-8.796159156382442,-8.730782292039724,-0.06537686434271883,-0.1962669326684795,False
BILL WARREN OFFICE PRODUC,0.003478239369511504,174,201402,5.159055299214529,-5.66122904123445,-6.567868290345633,0.9066392491111825,2.7218084906481144,False
JONES&BARTLETT LEARNING,4.321444227892839e-05,8,201402,2.0794415416798357,-10.049335783431376,-9.646899778926826,-0.4024360045045494,-1.2081472703467573,False
SKC GULF COAST INC,2.3052277919480942e-05,2,201402,,,,,,False
TFS FISHER SCI ATL,0.0002477409778498253,38,201402,3.6375861597263857,-8.303126797728623,-8.089049762511383,-0.2140770352172403,-0.6426775508320621,False
WALMART.COM 8009666546,0.0003995525647419002,60,201402,4.0943445622221,-7.825165222585394,-7.632377720273144,-0.19278750231224961,-0.5787645540369842,False
